region,system,network,isIO,instanceId,vCpu,memory,intranetGbps,intranetPPS,hourlyPrice,weeklyPrice,standard,monthlyPrice,yearlyPrice,2yearPrice,3yearPrice,4yearPrice,5yearPrice
cn-huhehaote,windows,vpc,TRUE,ecs.xn4.small,1,1,低,低,0.139,11.48,41,41,418.2,688.8,738,984,1230
cn-huhehaote,windows,vpc,TRUE,ecs.n4.small,1,2,低,低,0.259,21.28,76,76,775.2,1276.8,1368,1824,2280
cn-huhehaote,windows,vpc,TRUE,ecs.mn4.small,1,4,低,低,0.479,39.2,140,140,1428,2352,2520,3360,4200
cn-huhehaote,windows,vpc,TRUE,ecs.n4.large,2,4,低,低,0.639,51.52,184,184,1876.8,3091.2,3312,4416,5520
cn-huhehaote,windows,vpc,TRUE,ecs.n4.xlarge,4,8,低,低,1.279,102.76,367,367,3743.4,6165.6,6606,8808,11010
cn-huhehaote,windows,vpc,TRUE,ecs.n4.2xlarge,8,16,低,低,2.549,205.52,734,734,7486.8,12331.2,13212,17616,22020
cn-huhehaote,windows,vpc,TRUE,ecs.d1ne.2xlarge,8,32,6,80,6.019,485.24,1733,1646.35,15597,24955.2,28074.6,29946.24,31194
cn-huhehaote,windows,vpc,TRUE,ecs.gn5-c8g1.2xlarge,8,60,3,30,13.849,1117.12,3989.7,3989.7,40694.94,67026.96,74687.18,80432.35,83783.7
cn-huhehaote,windows,vpc,TRUE,ecs.n4.4xlarge,16,32,低,低,5.099,411.32,1469,1469,14983.8,24679.2,26442,35256,44070
cn-huhehaote,windows,vpc,TRUE,ecs.d1ne.4xlarge,16,64,12,160,12.029,970.2,3465,3291.75,31185,49896,56133,59875.2,62370
cn-huhehaote,windows,vpc,TRUE,ecs.gn5-c8g1.4xlarge,16,120,5,100,27.709,2234.23,7979.4,7979.4,81389.88,134053.92,149374.37,160864.7,167567.4
cn-huhehaote,windows,vpc,TRUE,ecs.d1ne.6xlarge,24,96,16,200,18.049,1455.44,5198,4938.1,46782,74851.2,84207.6,89821.44,93564
cn-huhehaote,windows,vpc,TRUE,ecs.n4.8xlarge,32,64,低,低,10.199,822.64,2938,2938,29967.6,49358.4,52884,70512,88140
cn-huhehaote,windows,vpc,TRUE,ecs.d1ne.8xlarge,32,128,20,250,24.059,1940.4,6930,6583.5,62370,99792,112266,119750.4,124740
cn-huhehaote,windows,vpc,TRUE,ecs.gn5-c8g1.8xlarge,32,240,10,200,55.409,4468.21,15957.9,15957.9,162770.58,268092.72,298731.89,321711.26,335115.9
cn-huhehaote,windows,vpc,TRUE,ecs.gn5-c8g1.14xlarge,54,480,25,400,110.819,8936.42,31915.8,31915.8,325541.16,536185.44,597463.78,643422.53,670231.8
cn-huhehaote,windows,vpc,TRUE,ecs.d1ne.14xlarge,56,224,40,450,42.109,3395.84,12128,11521.6,109152,174643.2,196473.6,209571.84,218304
cn-huhehaote,windows,vpc,TRUE,ecs.t5-lc2m1.nano,1,0.5,0.1,4,0.059,4.48,16,15.2,144,230.4,259.2,276.48,288
cn-huhehaote,windows,vpc,TRUE,ecs.t5-lc1m1.small,1,1,0.2,6,0.079,6.16,22,20.9,198,316.8,356.4,380.16,396
cn-huhehaote,windows,vpc,TRUE,ecs.t5-lc1m2.small,1,2,0.2,6,0.149,12.04,43,40.85,387,619.2,696.6,743.04,774
cn-huhehaote,windows,vpc,TRUE,ecs.ic5.large,2,2,1,30,0.529,42.84,153,153,1560.6,2570.4,3029.4,3304.8,3488.4
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m1.large,2,2,0.5,10,0.259,21,75,71.25,675,1080,1215,1296,1350
cn-huhehaote,windows,vpc,TRUE,ecs.c5.large,2,4,1,20,0.559,45.11,161.1,161.1,1643.22,2706.48,3189.78,3479.76,3576.42
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m2.large,2,4,0.5,10,0.359,29.4,105,99.75,945,1512,1701,1814.4,1890
cn-huhehaote,windows,vpc,TRUE,ecs.t5-lc1m2.large,2,4,0.4,10,0.299,24.08,86,81.7,774,1238.4,1393.2,1486.08,1548
cn-huhehaote,windows,vpc,TRUE,ecs.t5-lc1m4.large,2,8,0.4,10,0.499,40.32,144,136.8,1296,2073.6,2332.8,2488.32,2592
cn-huhehaote,windows,vpc,TRUE,ecs.g5.large,2,8,1,20,0.799,64.4,230,218.5,2070,3312,3726,3974.4,4140
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m4.large,2,8,0.5,10,0.559,45.36,162,153.9,1458,2332.8,2624.4,2799.36,2916
cn-huhehaote,windows,vpc,TRUE,ecs.r5.large,2,16,1,20,1.019,82.32,294,279.3,2646,4233.6,4762.8,5080.32,5292
cn-huhehaote,windows,vpc,TRUE,ecs.ic5.xlarge,4,4,1.5,50,1.059,85.68,306,306,3121.2,5140.8,6058.8,6609.6,6976.8
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m1.xlarge,4,4,0.8,20,0.519,42,150,142.5,1350,2160,2430,2592,2700
cn-huhehaote,windows,vpc,TRUE,ecs.c5.xlarge,4,8,1.5,30,1.119,90.22,322.2,322.2,3286.44,5412.96,6379.56,6959.52,7152.84
cn-huhehaote,windows,vpc,TRUE,ecs.t5-c1m2.xlarge,4,8,0.8,20,0.729,58.8,210,199.5,1890,3024,3402,3628.8,3780
cn-huhehaote,windows,vpc,TRUE,ecs.g5.xlarge,4,16,1.5,30,1.599,128.8,460,437,4140,6624,7452,7948.8,8280
